id,source,target,type
22473,11141,13949,contains
22474,11141,13950,contains
22475,11141,13951,contains
22476,11141,13952,contains
22477,11141,13953,contains
22478,11143,13954,contains
22479,11143,13955,contains
22480,11143,13956,contains
22481,11143,13957,contains
22482,11143,13958,contains
22483,11143,13959,contains
22484,11143,13960,contains
22485,11146,13961,contains
22486,11146,13962,contains
22487,11146,13963,contains
22488,11146,13964,contains
22489,11148,13965,contains
22490,11149,13966,contains
22491,11149,13967,contains
22492,11150,13968,contains
22493,11171,13969,contains
22494,11171,13970,contains
22495,11177,13971,contains
22496,11177,13972,contains
22497,11177,13973,contains
22498,11177,13974,contains
22499,11177,13975,contains
22500,11177,13976,contains
22501,11177,13977,contains
22502,11177,13978,contains
22503,11177,13979,contains
22504,11181,13980,contains
22505,11181,13981,contains
22506,11182,13982,contains
22507,11182,13983,contains
22508,11182,13984,contains
22509,11182,13985,contains
22510,11182,13986,contains
22511,11182,13987,contains
22512,11185,13988,contains
22513,11185,13989,contains
22514,11185,13990,contains
22515,11186,13991,contains
22516,11186,13992,contains
22517,11186,13993,contains
22518,11186,13994,contains
22519,11186,13995,contains
22520,11186,13996,contains
22521,11187,13997,contains
22522,11190,13998,contains
22523,11190,13999,contains
22524,11190,14000,contains
22525,11190,14001,contains
22526,11191,14002,contains
22527,11192,14003,contains
22528,11192,14004,contains
22529,11192,14005,contains
22530,11200,14006,contains
22531,11211,14007,contains
22532,11211,14008,contains
22533,11211,14009,contains
22534,11211,14010,contains
22535,11211,14011,contains
22536,11211,14012,contains
22537,11211,14013,contains
22538,11211,14014,contains
22539,11211,14015,contains
22540,11214,14016,contains
22541,11214,14017,contains
22542,11214,14018,contains
22543,11216,14019,contains
22544,11216,14020,contains
22545,11216,14021,contains
22546,11216,14022,contains
22547,11216,14023,contains
22548,11216,14024,contains
22549,11217,14025,contains
22550,11217,14026,contains
22551,11217,14027,contains
22552,11217,14028,contains
22553,11217,14029,contains
22554,11217,14030,contains
22555,11218,14031,contains
22556,11218,14032,contains
22557,11220,14033,contains
22558,11223,14034,contains
22559,11223,14035,contains
22560,11230,14036,contains
22561,11233,14037,contains
22562,11238,14038,contains
22563,11238,14039,contains
22564,11238,14040,contains
22565,11247,14041,contains
22566,11247,14042,contains
22567,11247,14043,contains
22568,11247,14044,contains
22569,11249,14045,contains
22570,11249,14046,contains
22571,11250,14047,contains
22572,11250,14048,contains
22573,11253,14049,contains
22574,11256,14050,contains
22575,11258,14051,contains
22576,11258,14052,contains
22577,11258,14053,contains
22578,11265,14054,contains
22579,11267,14055,contains
22580,11267,14056,contains
22581,11267,14057,contains
22582,11270,14058,contains
22583,11270,14059,contains
22584,11270,14060,contains
22585,11270,14061,contains
22586,11270,14062,contains
22587,11270,14063,contains
22588,11270,14064,contains
22589,11270,14065,contains
22590,11270,14066,contains
22591,11270,14067,contains
22592,11270,14068,contains
22593,11270,14069,contains
22594,11274,14070,contains
22595,11274,14071,contains
22596,11274,14072,contains
22597,11274,14073,contains
22598,11274,14074,contains
22599,11274,14075,contains
22600,11274,14076,contains
22601,11274,14077,contains
22602,11276,14078,contains
22603,11277,14079,contains
22604,11277,14080,contains
22605,11277,14081,contains
22606,11277,14082,contains
22607,11277,14083,contains
22608,11277,14084,contains
22609,11277,14085,contains
22610,11277,14086,contains
22611,11277,14087,contains
22612,11278,14088,contains
22613,11278,14089,contains
22614,11278,14090,contains
22615,11278,14091,contains
22616,11278,14092,contains
22617,11278,14093,contains
22618,11279,14094,contains
22619,11279,14095,contains
22620,11279,14096,contains
22621,11279,14097,contains
22622,10707,14098,contains
22623,11280,14099,contains
22624,11283,14100,contains
22625,11283,14101,contains
22626,11283,14102,contains
22627,11283,14103,contains
22628,11283,14104,contains
22629,11283,14105,contains
22630,11283,14106,contains
22631,11284,14107,contains
22632,11284,14108,contains
22633,11284,14109,contains
22634,11284,14110,contains
22635,11284,14111,contains
22636,11284,14112,contains
22637,11285,14113,contains
22638,11285,14114,contains
22639,11285,14115,contains
22640,11285,14116,contains
22641,11285,14117,contains
22642,11285,14118,contains
22643,11285,14119,contains
22644,11285,14120,contains
22645,11285,14121,contains
22646,11286,14122,contains
22647,11288,14123,contains
22648,11288,14124,contains
22649,11288,14125,contains
22650,11288,14126,contains
22651,11288,14127,contains
22652,11288,14128,contains
22653,11288,14129,contains
22654,11289,14130,contains
22655,11292,14131,contains
22656,11294,14132,contains
22657,11294,14133,contains
22658,11294,14134,contains
22659,11294,14135,contains
22660,11295,14136,contains
22661,11295,14137,contains
22662,11295,14138,contains
22663,11296,14139,contains
22664,11296,14140,contains
22665,11296,14141,contains
22666,11296,14142,contains
22667,11296,14143,contains
22668,11297,14144,contains
22669,11297,14145,contains
22670,11297,14146,contains
22671,11297,14147,contains
