id,source,target,type
6683,11157,5770,contains copy of
6684,11158,5505,contains copy of
6685,11159,5377,contains copy of
6686,11160,5771,contains copy of
6687,11161,5772,contains copy of
6688,11162,5377,contains copy of
6689,11163,5773,contains copy of
6690,11164,5774,contains copy of
6691,11165,5399,contains copy of
6692,11166,5089,contains copy of
6693,11167,5089,contains copy of
6694,11168,5089,contains copy of
6695,11169,5775,contains copy of
6696,11170,5091,contains copy of
6697,11171,5776,contains copy of
6698,11172,5777,contains copy of
6699,11173,5236,contains copy of
6700,11174,5236,contains copy of
6701,11175,5236,contains copy of
6702,11176,5778,contains copy of
6703,11177,5779,contains copy of
6704,11178,5781,contains copy of
6705,11179,5782,contains copy of
6706,11180,5784,contains copy of
6707,11181,5785,contains copy of
6708,11182,5785,contains copy of
6709,11183,5785,contains copy of
6710,11184,5786,contains copy of
6711,11185,5787,contains copy of
6712,11186,5787,contains copy of
6713,11187,5788,contains copy of
6714,11188,5311,contains copy of
6715,11189,5311,contains copy of
6716,11190,5311,contains copy of
6717,11191,5790,contains copy of
6718,11192,5790,contains copy of
6719,11193,5538,contains copy of
6720,11194,5538,contains copy of
6721,11195,5791,contains copy of
6722,11196,5791,contains copy of
6723,11197,5792,contains copy of
6724,11198,5794,contains copy of
6725,11199,5796,contains copy of
6726,11200,5798,contains copy of
6727,11201,5798,contains copy of
6728,11202,5491,contains copy of
6729,11203,5491,contains copy of
6730,11204,5491,contains copy of
6731,11206,5019,contains copy of
6732,11207,5019,contains copy of
6733,11208,5788,contains copy of
6734,11209,5799,contains copy of
6735,11210,5799,contains copy of
6736,11205,5800,contains copy of
6737,11211,5801,contains copy of
6738,11212,5801,contains copy of
6739,11213,5801,contains copy of
6740,11214,5801,contains copy of
6741,11215,5801,contains copy of
6742,11216,5802,contains copy of
6743,11217,5803,contains copy of
6744,11218,5804,contains copy of
6745,11219,5805,contains copy of
6746,11220,5806,contains copy of
6747,11221,5807,contains copy of
6748,11222,5808,contains copy of
6749,11223,5537,contains copy of
6750,11224,5246,contains copy of
6751,11225,5678,contains copy of
6752,11226,5809,contains copy of
6753,11008,5809,contains copy of
6754,11227,5810,contains copy of
6755,11228,5811,contains copy of
6756,11229,5812,contains copy of
6757,11230,5813,contains copy of
6758,11231,5814,contains copy of
6759,11232,5815,contains copy of
6760,11233,5816,contains copy of
6761,11234,5421,contains copy of
6762,11235,5817,contains copy of
6763,11236,5818,contains copy of
6764,11237,5818,contains copy of
6765,11238,5820,contains copy of
6766,11239,5100,contains copy of
6767,11240,5821,contains copy of
6768,11241,5822,contains copy of
6769,11242,5419,contains copy of
6770,11243,5823,contains copy of
6771,11244,5419,contains copy of
6772,11245,5824,contains copy of
6773,11246,5825,contains copy of
6774,11247,5826,contains copy of
6775,11248,5434,contains copy of
6776,11249,5827,contains copy of
6777,11250,5571,contains copy of
6778,11108,5546,contains copy of
6779,11108,5828,contains copy of
6780,11251,5829,contains copy of
6781,11252,5830,contains copy of
6782,11253,5402,contains copy of
6783,11254,5831,contains copy of
6784,11224,5831,contains copy of
6785,11257,5834,contains copy of
6786,11258,5835,contains copy of
6787,11259,5836,contains copy of
6788,10885,5837,contains copy of
6789,10885,5838,contains copy of
6790,10885,5839,contains copy of
6791,10885,5840,contains copy of
6792,10885,5841,contains copy of
6793,11260,5842,contains copy of
6794,11261,5843,contains copy of
6795,11262,5844,contains copy of
6796,11263,5845,contains copy of
6797,11264,5846,contains copy of
6798,10885,5847,contains copy of
6799,11265,5848,contains copy of
6800,11266,5849,contains copy of
6801,11267,5850,contains copy of
6802,11268,5851,contains copy of
6803,11269,5852,contains copy of
6804,11270,5854,contains copy of
6805,11271,5854,contains copy of
6806,11272,5855,contains copy of
6807,11273,5856,contains copy of
6808,11274,5857,contains copy of
6809,11275,5858,contains copy of
6810,11276,5859,contains copy of
6811,11277,5860,contains copy of
6812,11278,5861,contains copy of
6813,11279,5862,contains copy of
6814,11280,5862,contains copy of
6815,11281,5862,contains copy of
6816,11282,5862,contains copy of
6817,11283,5862,contains copy of
6818,11284,5863,contains copy of
6819,11285,5865,contains copy of
6820,11286,5867,contains copy of
6821,11287,5868,contains copy of
6822,11288,5869,contains copy of
6823,11289,5870,contains copy of
6824,11290,5871,contains copy of
6825,11291,5872,contains copy of
6826,11292,5873,contains copy of
6827,11293,5850,contains copy of
6828,11294,5874,contains copy of
6829,11295,5875,contains copy of
6830,11296,5876,contains copy of
6831,11297,5878,contains copy of
6832,11298,5879,contains copy of
6833,11299,5880,contains copy of
6834,11300,5880,contains copy of
6835,11301,5881,contains copy of
6836,11302,5881,contains copy of
6837,11303,5881,contains copy of
6838,11304,5882,contains copy of
6839,11305,5877,contains copy of
6840,11306,5883,contains copy of
6841,11307,5873,contains copy of
6842,11308,5884,contains copy of
6843,11309,5882,contains copy of
6844,11310,5882,contains copy of
6845,11311,5882,contains copy of
6846,11312,5885,contains copy of
6847,11313,5882,contains copy of
6848,11314,5884,contains copy of
6849,11315,5884,contains copy of
6850,11316,5884,contains copy of
6851,11317,5885,contains copy of
6852,11318,5886,contains copy of
6853,11319,5887,contains copy of
6854,11320,5888,contains copy of
6855,11321,5889,contains copy of
6856,11322,5890,contains copy of
6857,11323,5891,contains copy of
6858,11324,5892,contains copy of
6859,11325,5892,contains copy of
6860,11326,5892,contains copy of
6861,11327,5893,contains copy of
6862,11328,5894,contains copy of
6863,11329,5895,contains copy of
6864,11021,5644,contains copy of
6865,11330,5896,contains copy of
6866,11331,5897,contains copy of
6867,11332,5898,contains copy of
6868,11333,5899,contains copy of
6869,11334,5317,contains copy of
6870,11335,5900,contains copy of
6871,11336,5894,contains copy of
6872,11337,5901,contains copy of
6873,11338,5902,contains copy of
6874,11339,5902,contains copy of
6875,11340,5902,contains copy of
6876,11341,5902,contains copy of
6877,11342,5903,contains copy of
6878,11343,5904,contains copy of
6879,11344,5905,contains copy of
6880,11345,5907,contains copy of
6881,11346,5909,contains copy of
6882,11347,5911,contains copy of
6883,10585,5911,contains copy of
6884,11349,5910,contains copy of
6885,11350,5333,contains copy of
6886,11351,5333,contains copy of
6887,11352,5913,contains copy of
6888,11353,6884,contains copy of
6889,11354,5914,contains copy of
6890,11355,5334,contains copy of
6891,11356,5915,contains copy of
6892,11357,5497,contains copy of
6893,11358,5916,contains copy of
6894,11359,5917,contains copy of
6895,11360,5909,contains copy of
6896,11361,5918,contains copy of
6897,11362,5919,contains copy of
6898,11363,5920,contains copy of
6899,11364,5920,contains copy of
6900,11365,5210,contains copy of
6901,11366,5210,contains copy of
6902,11367,5888,contains copy of
6903,11368,5921,contains copy of
6904,11369,5923,contains copy of
6905,11370,5924,contains copy of
6906,11371,5925,contains copy of
6907,11372,5926,contains copy of
6908,11373,5926,contains copy of
6909,11374,5906,contains copy of
6910,11375,5906,contains copy of
6911,11376,5927,contains copy of
6912,11377,5928,contains copy of
6913,11378,5929,contains copy of
6914,11379,5930,contains copy of
6915,11379,5931,contains copy of
6916,11379,5932,contains copy of
6917,11379,5933,contains copy of
6918,11379,5934,contains copy of
6919,11380,5935,contains copy of
6920,11381,5936,contains copy of
6921,11382,5936,contains copy of
6922,11383,5936,contains copy of
6923,11384,5936,contains copy of
6924,11385,5937,contains copy of
6925,11386,5253,contains copy of
6926,11387,5253,contains copy of
6927,11388,5938,contains copy of
6928,11389,5938,contains copy of
6929,11390,5939,contains copy of
6930,11391,5940,contains copy of
6931,11392,5941,contains copy of
6932,11393,5942,contains copy of
6933,11391,5943,contains copy of
6934,11394,5131,contains copy of
6935,11395,5131,contains copy of
6936,11396,5131,contains copy of
6937,11397,5131,contains copy of
6938,11398,5131,contains copy of
6939,11399,5131,contains copy of
6940,11400,5131,contains copy of
6941,11401,5131,contains copy of
6942,11402,5131,contains copy of
6943,11403,5131,contains copy of
6944,11404,5131,contains copy of
6945,11405,5131,contains copy of
6946,11406,5131,contains copy of
6947,11407,5131,contains copy of
6948,11408,5131,contains copy of
6949,11409,5131,contains copy of
6950,11410,5131,contains copy of
6951,11411,5131,contains copy of
6952,11412,5131,contains copy of
6953,11413,5131,contains copy of
6954,11414,5131,contains copy of
6955,11415,5131,contains copy of
6956,11416,5131,contains copy of
6957,11417,5131,contains copy of
6958,11418,5131,contains copy of
6959,11419,5096,contains copy of
6960,11420,5096,contains copy of
6961,11421,5320,contains copy of
6962,11422,5944,contains copy of
6963,11423,5945,contains copy of
6964,11424,5945,contains copy of
6965,11425,5381,contains copy of
6966,11426,5381,contains copy of
6967,11427,5381,contains copy of
6968,11428,5381,contains copy of
6969,11429,5946,contains copy of
6970,11430,5947,contains copy of
6971,11431,5948,contains copy of
6972,11432,5949,contains copy of
6973,11434,5950,contains copy of
6974,11435,5134,contains copy of
6975,11436,5134,contains copy of
6976,11437,5283,contains copy of
6977,11438,5283,contains copy of
6978,11439,5283,contains copy of
6979,11440,5951,contains copy of
6980,11441,5952,contains copy of
6981,11442,5022,contains copy of
6982,11443,5022,contains copy of
6983,11444,5953,contains copy of
6984,11445,5953,contains copy of
6985,11446,5953,contains copy of
6986,11391,5954,contains copy of
6987,11447,5955,contains copy of
6988,11448,5495,contains copy of
6989,11449,5956,contains copy of
6990,11450,5409,contains copy of
6991,11451,5409,contains copy of
6992,11452,5957,contains copy of
6993,11452,5958,contains copy of
6994,11453,5398,contains copy of
6995,11454,5398,contains copy of
6996,11455,5957,contains copy of
6997,11456,5959,contains copy of
6998,11457,5960,contains copy of
6999,11458,5961,contains copy of
7000,11459,5961,contains copy of
7001,11460,5961,contains copy of
7002,11461,5962,contains copy of
7003,11462,5963,contains copy of
7004,11463,5495,contains copy of
7005,11464,5495,contains copy of
7006,11465,5964,contains copy of
7007,11108,5965,contains copy of
7008,11108,5966,contains copy of
7009,11466,5967,contains copy of
7010,11467,5968,contains copy of
7011,11468,5968,contains copy of
7012,11469,5969,contains copy of
7013,11470,5970,contains copy of
7014,11471,5972,contains copy of
7015,11472,5973,contains copy of
7016,11473,5312,contains copy of
7017,11474,5974,contains copy of
7018,11475,5972,contains copy of
7019,11476,5972,contains copy of
7020,11477,5975,contains copy of
7021,11477,5976,contains copy of
7022,11478,5287,contains copy of
7023,11477,5978,contains copy of
7024,11479,5979,contains copy of
7025,11480,5980,contains copy of
7026,10676,5981,contains copy of
7027,11481,5982,contains copy of
7028,11482,5970,contains copy of
7029,11483,5983,contains copy of
7030,11484,5984,contains copy of
7031,11485,5350,contains copy of
7032,11486,5985,contains copy of
7033,11487,5986,contains copy of
7034,10885,5987,contains copy of
7035,11488,5988,contains copy of
7036,11489,5488,contains copy of
7037,11490,5787,contains copy of
7038,11491,5792,contains copy of
7039,11492,5798,contains copy of
7040,11494,5990,contains copy of
7041,11073,5990,contains copy of
7042,11008,5991,contains copy of
7043,11493,5989,contains copy of
7044,11496,5995,contains copy of
7045,11497,5996,contains copy of
7046,10900,5748,contains copy of
7047,11498,5997,contains copy of
7048,11499,5998,contains copy of
7049,11500,5999,contains copy of
7050,11501,6000,contains copy of
7051,11502,6001,contains copy of
7052,11503,5233,contains copy of
7053,11504,6002,contains copy of
7054,11505,6003,contains copy of
7055,11506,6004,contains copy of
7056,11507,6007,contains copy of
7057,11508,6008,contains copy of
7058,11509,6009,contains copy of
7059,11510,6010,contains copy of
7060,11511,6005,contains copy of
7061,11512,6011,contains copy of
7062,11513,6012,contains copy of
7063,11514,6014,contains copy of
7064,11515,6015,contains copy of
7065,11516,6016,contains copy of
7066,11517,6018,contains copy of
7067,11518,6019,contains copy of
7068,11519,6020,contains copy of
7069,11520,6021,contains copy of
7070,11521,6022,contains copy of
7071,11522,6023,contains copy of
7072,11523,6024,contains copy of
7073,11524,6018,contains copy of
7074,11525,6018,contains copy of
7075,11526,6025,contains copy of
7076,11527,6026,contains copy of
7077,11528,6027,contains copy of
7078,11529,5496,contains copy of
7079,11530,6028,contains copy of
7080,11531,6029,contains copy of
7081,11133,6030,contains copy of
7082,11008,6031,contains copy of
7083,11532,6032,contains copy of
7084,11533,6033,contains copy of
7085,11534,6034,contains copy of
7086,11535,6035,contains copy of
7087,11536,6036,contains copy of
7088,11537,6037,contains copy of
7089,11537,6038,contains copy of
7090,11537,6039,contains copy of
7091,11539,5395,contains copy of
7092,11538,5395,contains copy of
7093,11516,6041,contains copy of
7094,11516,6040,contains copy of
7095,11541,5973,contains copy of
7096,11541,6042,contains copy of
7097,11542,6044,contains copy of
7098,11543,6045,contains copy of
7099,11545,6046,contains copy of
7100,11546,6047,contains copy of
7101,11547,6049,contains copy of
7102,11548,6050,contains copy of
7103,11549,6051,contains copy of
7104,11506,6053,contains copy of
7105,11551,6054,contains copy of
7106,11516,5848,contains copy of
7107,11552,6056,contains copy of
7108,11553,6058,contains copy of
7109,11554,6059,contains copy of
7110,11555,6060,contains copy of
7111,11556,5160,contains copy of
7112,11552,6061,contains copy of
7113,11557,6062,contains copy of
7114,11516,6064,contains copy of
7115,11558,6065,contains copy of
7116,11559,6066,contains copy of
7117,11559,6068,contains copy of
7118,11560,5471,contains copy of
7119,11516,6070,contains copy of
7120,11562,6072,contains copy of
7121,11563,5678,contains copy of
7122,11563,5681,contains copy of
7123,11563,5677,contains copy of
7124,11563,5679,contains copy of
7125,11563,5680,contains copy of
7126,11563,6073,contains copy of
7127,11563,6074,contains copy of
7128,11544,6025,contains copy of
7129,11564,6075,contains copy of
7130,11565,6076,contains copy of
7131,11564,6077,contains copy of
7132,11566,5728,contains copy of
7133,11567,6078,contains copy of
7134,11568,6080,contains copy of
7135,11569,5401,contains copy of
7136,11570,5999,contains copy of
7137,11571,6081,contains copy of
7138,11495,5992,contains copy of
7139,11572,6082,contains copy of
7140,11573,5248,contains copy of
7141,11574,5543,contains copy of
7142,11575,5983,contains copy of
7143,11576,6083,contains copy of
7144,11506,6084,contains copy of
7145,11577,6085,contains copy of
7146,11578,6086,contains copy of
7147,11579,6087,contains copy of
7148,11580,5138,contains copy of
7149,11581,5521,contains copy of
7150,11552,6088,contains copy of
7151,11552,6089,contains copy of
7152,11552,6090,contains copy of
7153,11582,6091,contains copy of
7154,11582,6092,contains copy of
7155,11516,6093,contains copy of
7156,11583,5554,contains copy of
7157,11584,6094,contains copy of
7158,11585,6096,contains copy of
7159,11545,6097,contains copy of
7160,11545,6071,contains copy of
7161,11545,6098,contains copy of
7162,11545,6099,contains copy of
7163,11545,6100,contains copy of
7164,11545,6101,contains copy of
7165,11545,6102,contains copy of
7166,11545,6103,contains copy of
7167,11545,5456,contains copy of
7168,11545,6104,contains copy of
7169,11545,6105,contains copy of
7170,11512,6106,contains copy of
7171,11512,6107,contains copy of
7172,11512,5053,contains copy of
7173,11586,6108,contains copy of
7174,11586,6109,contains copy of
7175,11586,6110,contains copy of
7176,11586,6111,contains copy of
7177,11586,6112,contains copy of
7178,11586,6113,contains copy of
7179,11586,6114,contains copy of
7180,11586,6115,contains copy of
7181,11586,6116,contains copy of
7182,11586,6117,contains copy of
7183,11586,6118,contains copy of
7184,11544,6119,contains copy of
7185,11544,6120,contains copy of
7186,11544,6121,contains copy of
7187,11587,6027,contains copy of
7188,11588,6122,contains copy of
7189,11589,5287,contains copy of
7190,11589,6123,contains copy of
7191,11590,6124,contains copy of
7192,11591,6125,contains copy of
7193,11592,6126,contains copy of
7194,11593,6127,contains copy of
7195,11594,5022,contains copy of
7196,11595,5035,contains copy of
7197,11595,5036,contains copy of
7198,11596,5409,contains copy of
7199,11596,6128,contains copy of
7200,11597,6129,contains copy of
7201,11598,6130,contains copy of
7202,11599,6131,contains copy of
7203,11600,6132,contains copy of
7204,11601,5992,contains copy of
7205,11590,6134,contains copy of
7206,11590,6135,contains copy of
7207,11602,6136,contains copy of
7208,11603,5297,contains copy of
7209,11604,5297,contains copy of
7210,11605,6137,contains copy of
7211,11590,5297,contains copy of
7212,11606,5297,contains copy of
7213,11607,5297,contains copy of
7214,11608,5297,contains copy of
7215,11609,5297,contains copy of
7216,11610,6138,contains copy of
7217,11611,6139,contains copy of
7218,11612,5227,contains copy of
7219,11613,5043,contains copy of
7220,11614,6140,contains copy of
7221,11615,6141,contains copy of
7222,11616,5043,contains copy of
7223,11617,6142,contains copy of
7224,11618,6143,contains copy of
7225,11619,6144,contains copy of
7226,11619,6145,contains copy of
7227,11619,5227,contains copy of
7228,11619,6146,contains copy of
7229,11619,6147,contains copy of
7230,11619,6148,contains copy of
7231,11619,6149,contains copy of
7232,11620,6150,contains copy of
7233,11620,6151,contains copy of
7234,11621,6152,contains copy of
7235,11622,6153,contains copy of
7236,11623,6154,contains copy of
7237,11624,6143,contains copy of
7238,11625,5227,contains copy of
7239,11626,5227,contains copy of
7240,11627,6155,contains copy of
7241,11628,6156,contains copy of
7242,11629,5043,contains copy of
7243,11630,6157,contains copy of
7244,11631,6158,contains copy of
7245,11632,6159,contains copy of
7246,11633,5191,contains copy of
7247,11633,5296,contains copy of
7248,11634,6160,contains copy of
7249,11635,5482,contains copy of
7250,11636,5015,contains copy of
7251,11636,6161,contains copy of
7252,11636,6162,contains copy of
7253,11637,6163,contains copy of
7254,11638,6165,contains copy of
7255,11639,6166,contains copy of
7256,11640,5950,contains copy of
7257,11641,5227,contains copy of
7258,11619,6167,contains copy of
7259,11642,5043,contains copy of
7260,11643,5043,contains copy of
7261,11644,6168,contains copy of
7262,11645,5575,contains copy of
7263,11646,6169,contains copy of
7264,11606,6170,contains copy of
7265,11606,6171,contains copy of
7266,11647,6172,contains copy of
7267,11648,6173,contains copy of
7268,11649,6174,contains copy of
7269,11650,5576,contains copy of
7270,11651,6175,contains copy of
7271,11621,5396,contains copy of
7272,11652,6176,contains copy of
7273,11652,6177,contains copy of
7274,11653,6178,contains copy of
7275,11654,6179,contains copy of
7276,11655,5342,contains copy of
7277,11656,6180,contains copy of
7278,11657,5351,contains copy of
7279,11658,6181,contains copy of
7280,11659,6182,contains copy of
7281,11660,5320,contains copy of
7282,11661,6183,contains copy of
7283,11610,6184,contains copy of
7284,11662,6185,contains copy of
7285,11653,6186,contains copy of
7286,11663,6187,contains copy of
7287,11664,6188,contains copy of
7288,11665,6189,contains copy of
7289,11666,6190,contains copy of
7290,11666,6191,contains copy of
7291,11667,6192,contains copy of
7292,11668,5253,contains copy of
7293,11669,6194,contains copy of
7294,11670,6195,contains copy of
7295,11671,5462,contains copy of
7296,11672,6196,contains copy of
7297,11673,6198,contains copy of
7298,11673,6200,contains copy of
7299,11666,6201,contains copy of
7300,11674,6202,contains copy of
7301,11675,5153,contains copy of
7302,11676,6203,contains copy of
7303,11677,5599,contains copy of
7304,11678,5280,contains copy of
7305,11679,6204,contains copy of
7306,11680,6205,contains copy of
7307,11680,6206,contains copy of
7308,11681,6207,contains copy of
7309,11682,5778,contains copy of
7310,11683,6208,contains copy of
7311,11684,6209,contains copy of
7312,11685,6210,contains copy of
7313,11686,6182,contains copy of
7314,11687,6211,contains copy of
7315,11687,6212,contains copy of
7316,11688,6214,contains copy of
7317,11688,6216,contains copy of
7318,11689,6217,contains copy of
7319,11690,6080,contains copy of
7320,11691,6218,contains copy of
7321,11692,5215,contains copy of
7322,11693,5602,contains copy of
7323,11694,5918,contains copy of
7324,11695,6219,contains copy of
7325,11696,6220,contains copy of
7326,11697,6158,contains copy of
7327,11698,6221,contains copy of
7328,11699,6222,contains copy of
7329,11700,6223,contains copy of
7330,11701,5320,contains copy of
7331,11702,6224,contains copy of
7332,11703,6225,contains copy of
7333,11704,6227,contains copy of
7334,11704,6229,contains copy of
7335,11705,6230,contains copy of
7336,11706,6231,contains copy of
7337,11707,6232,contains copy of
7338,11708,6233,contains copy of
7339,11709,6226,contains copy of
7340,11710,5598,contains copy of
7341,11711,6234,contains copy of
7342,11712,5215,contains copy of
7343,11713,5602,contains copy of
7344,11714,5992,contains copy of
7345,11715,5356,contains copy of
7346,11716,6236,contains copy of
7347,11717,6204,contains copy of
7348,11718,6237,contains copy of
7349,11719,6204,contains copy of
7350,11720,6238,contains copy of
7351,11721,6239,contains copy of
7352,11722,6240,contains copy of
7353,11723,6241,contains copy of
7354,11724,6242,contains copy of
7355,11724,6243,contains copy of
7356,11724,6245,contains copy of
7357,11724,6246,contains copy of
7358,11724,6247,contains copy of
7359,11725,6248,contains copy of
7360,11726,5612,contains copy of
7361,11727,5615,contains copy of
7362,11728,5609,contains copy of
7363,11729,6249,contains copy of
7364,11730,6250,contains copy of
7365,11731,6249,contains copy of
7366,11732,5283,contains copy of
7367,11733,6251,contains copy of
7368,11734,5566,contains copy of
7369,11734,6252,contains copy of
7370,11734,6253,contains copy of
7371,11735,6094,contains copy of
7372,11736,5549,contains copy of
7373,11737,6254,contains copy of
7374,11728,6255,contains copy of
7375,11738,6256,contains copy of
7376,11611,6257,contains copy of
7377,11739,6258,contains copy of
7378,11740,6259,contains copy of
7379,11619,6260,contains copy of
7380,11741,6150,contains copy of
7381,11742,5170,contains copy of
7382,11742,6261,contains copy of
7383,11743,6262,contains copy of
7384,11743,5038,contains copy of
7385,11744,6264,contains copy of
7386,11745,5983,contains copy of
7387,11746,6266,contains copy of
7388,11746,6267,contains copy of
7389,11746,6268,contains copy of
7390,11747,6269,contains copy of
7391,11743,6265,contains copy of
7392,11748,6270,contains copy of
7393,11749,6141,contains copy of
7394,11749,6271,contains copy of
7395,11750,6272,contains copy of
7396,11751,6273,contains copy of
7397,11752,6274,contains copy of
7398,11753,6210,contains copy of
7399,11754,6275,contains copy of
7400,11755,5776,contains copy of
7401,11756,6276,contains copy of
7402,11757,6277,contains copy of
7403,11757,6279,contains copy of
7404,11757,6280,contains copy of
7405,11748,6278,contains copy of
7406,11758,6281,contains copy of
7407,11759,6282,contains copy of
7408,11738,6283,contains copy of
7409,11760,6285,contains copy of
7410,11761,5452,contains copy of
7411,11760,6286,contains copy of
7412,11762,6287,contains copy of
7413,11760,6288,contains copy of
7414,11763,6289,contains copy of
7415,11764,6290,contains copy of
7416,11765,6291,contains copy of
7417,11766,6292,contains copy of
7418,11767,6293,contains copy of
7419,11768,6294,contains copy of
7420,11619,6295,contains copy of
7421,11619,6295,contains copy of
7422,11769,6296,contains copy of
7423,11770,5398,contains copy of
7424,11771,5501,contains copy of
7425,11772,6297,contains copy of
7426,11773,6298,contains copy of
7427,11774,5398,contains copy of
7428,11775,5501,contains copy of
7429,11610,6299,contains copy of
7430,11776,6300,contains copy of
7431,11777,6301,contains copy of
7432,11777,5983,contains copy of
7433,11777,5246,contains copy of
7434,11777,6302,contains copy of
7435,11777,6303,contains copy of
7436,11778,6304,contains copy of
7437,11779,6305,contains copy of
7438,11780,6306,contains copy of
7439,11781,6307,contains copy of
7440,11782,6308,contains copy of
7441,11783,6309,contains copy of
7442,11783,5556,contains copy of
7443,11783,6310,contains copy of
7444,11783,5488,contains copy of
7445,11783,6311,contains copy of
7446,11784,6312,contains copy of
7447,11785,6313,contains copy of
7448,11786,6314,contains copy of
7449,11787,6315,contains copy of
7450,11788,6316,contains copy of
7451,11789,6317,contains copy of
7452,11790,6318,contains copy of
7453,11791,6320,contains copy of
7454,11791,6321,contains copy of
7455,11792,6322,contains copy of
7456,11793,6323,contains copy of
7457,11794,6324,contains copy of
7458,11795,5543,contains copy of
7459,11796,6325,contains copy of
7460,11796,6326,contains copy of
7461,11797,6328,contains copy of
7462,11798,6329,contains copy of
7463,11799,6327,contains copy of
7464,11800,5495,contains copy of
7465,11692,5495,contains copy of
7466,11801,5961,contains copy of
7467,11802,6330,contains copy of
7468,11803,6331,contains copy of
7469,11804,6333,contains copy of
7470,11805,6334,contains copy of
7471,11805,6335,contains copy of
7472,11806,5122,contains copy of
7473,11807,5122,contains copy of
7474,11808,6336,contains copy of
7475,11809,6337,contains copy of
7476,11810,6338,contains copy of
7477,11810,6339,contains copy of
7478,11810,6340,contains copy of
7479,11811,6341,contains copy of
7480,11811,6342,contains copy of
7481,11812,5179,contains copy of
7482,11813,5120,contains copy of
7483,11814,5248,contains copy of
7484,11815,5244,contains copy of
7485,11816,6343,contains copy of
7486,11817,6344,contains copy of
7487,11817,6343,contains copy of
7488,11818,6345,contains copy of
7489,11819,6346,contains copy of
7490,11820,6347,contains copy of
7491,11821,5253,contains copy of
7492,11822,5320,contains copy of
7493,11823,6206,contains copy of
7494,11824,6348,contains copy of
7495,11825,6350,contains copy of
7496,11826,6351,contains copy of
7497,11827,6352,contains copy of
7498,11828,6353,contains copy of
7499,11829,6354,contains copy of
7500,11830,6355,contains copy of
7501,11831,6194,contains copy of
7502,11832,6356,contains copy of
7503,11833,6357,contains copy of
7504,11834,6358,contains copy of
7505,11834,6359,contains copy of
7506,11835,6360,contains copy of
7507,11836,6362,contains copy of
7508,11837,6363,contains copy of
7509,11837,6364,contains copy of
7510,11837,6365,contains copy of
7511,11837,6367,contains copy of
7512,11838,5655,contains copy of
7513,11839,5248,contains copy of
7514,11840,5248,contains copy of
7515,11841,5631,contains copy of
7516,11842,6368,contains copy of
7517,11843,5248,contains copy of
7518,11844,5248,contains copy of
7519,11845,5244,contains copy of
7520,11846,6369,contains copy of
7521,11846,6371,contains copy of
7522,11847,6372,contains copy of
7523,11848,5359,contains copy of
7524,11849,6373,contains copy of
7525,11850,6374,contains copy of
7526,11851,6375,contains copy of
7527,11852,6376,contains copy of
7528,11853,5627,contains copy of
7529,11854,6377,contains copy of
7530,11855,5278,contains copy of
7531,11856,6378,contains copy of
7532,11857,6379,contains copy of
7533,11858,6380,contains copy of
7534,11859,6014,contains copy of
7535,11853,6381,contains copy of
7536,11860,5633,contains copy of
7537,11861,6383,contains copy of
7538,11862,6384,contains copy of
7539,11863,5246,contains copy of
7540,11864,6385,contains copy of
7541,11865,6386,contains copy of
7542,11866,6331,contains copy of
7543,11867,6387,contains copy of
7544,11868,6388,contains copy of
7545,11869,6389,contains copy of
7546,11870,5317,contains copy of
7547,11870,6390,contains copy of
7548,11871,6391,contains copy of
7549,11871,6392,contains copy of
7550,11863,5623,contains copy of
7551,11871,6393,contains copy of
7552,11871,6394,contains copy of
7553,11871,6395,contains copy of
7554,11871,6396,contains copy of
7555,11872,6397,contains copy of
7556,11863,5655,contains copy of
7557,11873,6398,contains copy of
7558,11874,5462,contains copy of
7559,11863,5636,contains copy of
7560,11863,6399,contains copy of
7561,11875,6401,contains copy of
7562,11875,6402,contains copy of
7563,11876,6403,contains copy of
7564,11877,6405,contains copy of
7565,11878,6406,contains copy of
7566,11879,6407,contains copy of
7567,11880,6193,contains copy of
7568,11881,6408,contains copy of
7569,11882,6409,contains copy of
7570,11882,6410,contains copy of
7571,11883,6411,contains copy of
7572,11884,6412,contains copy of
7573,11885,6052,contains copy of
7574,11886,6413,contains copy of
7575,11887,5759,contains copy of
7576,11888,5377,contains copy of
7577,11889,5331,contains copy of
7578,11890,6414,contains copy of
7579,11891,6415,contains copy of
7580,11892,5096,contains copy of
7581,11893,6417,contains copy of
7582,11894,6418,contains copy of
7583,11838,5504,contains copy of
7584,11895,5631,contains copy of
7585,11896,5631,contains copy of
7586,11897,5637,contains copy of
7587,11898,5122,contains copy of
7588,11899,5248,contains copy of
7589,11900,5248,contains copy of
7590,11901,6231,contains copy of
7591,11902,5351,contains copy of
7592,11903,5248,contains copy of
7593,11904,5631,contains copy of
7594,11905,6419,contains copy of
7595,11906,6420,contains copy of
7596,11907,5678,contains copy of
7597,11907,5679,contains copy of
7598,11908,5678,contains copy of
7599,11909,5699,contains copy of
7600,11910,6421,contains copy of
7601,11911,6346,contains copy of
7602,11912,6422,contains copy of
7603,11913,5409,contains copy of
7604,11914,6423,contains copy of
7605,11915,6210,contains copy of
7606,11916,6079,contains copy of
7607,11917,6424,contains copy of
7608,11918,6425,contains copy of
7609,11919,5599,contains copy of
7610,11920,6426,contains copy of
7611,11921,6427,contains copy of
7612,11922,6428,contains copy of
7613,11923,6429,contains copy of
7614,11924,5248,contains copy of
