id,type,label
539,Person,Ḥasan ibn ʿUmar Ibn Ḥabīb al-Ḥalabī (539)
751,Person,ʻAbd al-Raḥmān ibn Ṣāliḥ Al-Ḥalabī (751)
659,Person,Muḥammad ibn Aḥmad Shams al-Dīn al-Dhahabī (659)
752,Person,Khalīl ibn Aybak al-Ṣafadī (752)
753,Person,Aḥmad ibn Yaḥyā Ibn Faḍl Allāh al-ʻUmarī (753)
754,Person,ʻAbd al-Wahhāb ibn ʻAlī Tāj al-Dīn al-Subkī (754)
543,Person, Z̤iyāʾ Khujandī (543)
755,Person,Aḥmad ibn Muḥammad Sayf al-Dīn Isfarangī (755)
758,Person,Shihāb al-Dīn Abū l-ʿAbbās Aḥmad b. Yaḥyā b. Abī Bakr Ibn Abī Hajala al-Tilimsānī (758)
759,Person,ʿUmar Ibn-ʿAlī Ibn-al-Fāriḍ (759)
811,Person, Burhān al-Dīn Naṣīrī (811)
810,Person,Muḥammad ibn Masʻūd Kāzarūnī (810)
849,Person,Yaḥyā ibn Muḥammad Ibn Abī al-Shukr (849)
850,Person,Sharaf al-Dīn Hārūn ibn Shams al-Dīn Juwaynī (850)
851,Person,Yūsuf Malik Nāṣir (851)
857,Person, Ibn al-Muqayyar (857)
821,Person,Aḥmad ibn ʿAbd Allāh Muḥibb al-Dīn al-Ṭabarī (821)
858,Person, Sharaf al-Dīn al-Mursī (858)
859,Person, Ibn al-Jummayzī (859)
860,Person,Yūsuf ibn Manṣūr al-Malik al-Muẓaffar (860)
826,Person,al-Ḥasan Ibn Muḥammad ibn Sharaf Ibn Sharaf Shāh Astarābādhī (826)
861,Person,ʻAlī ibn ʿAbd Allāh Tāj al-Dīn Tabrīzī (861)
872,Person,Aḥmad ibn ʻAlī al-Khaṭīb al-Baghdādī (872)
871,Person,Yaḥyā ibn ʻAlī Khaṭīb Tabrīzī (871)
197,Person,ʿAbd al-Qāhir ibn ʻAbd al-Raḥmān al-Jurjānī (197)
518,Person,Aḥmad IbnʿAbdallāh Abū al-ʿAlāʾ al-Maʿarrī (518)
874,Person,Mawhūb ibn Aḥmad Jawālīqī (874)
805,Person,Abū l-Qāsim ‘Alī ibn Ḥasan ibn Hibat Allāh Ibn ‘Asākir (805)
281,Person,Shams al-Dīn Maḥmūd ibnʿAbd al-Raḥmān al-Iṣfahānī (281)
875,Person,Muḥammad ibn ʻAbd al-Raḥmān al-Khaṭīb al-Qazwīnī (875)
877,Person,Qāsim ibn ʿIsā Abū Dulaf al-ʻIjlī (877)
879,Person, Shihāb al-Dīn Irbilī (879)
878,Person, Shams al-Dīn Aykī (878)
880,Person, Burhān al-Dīn Subkī (880)
881,Person, Bahāʼ al-Dīn al-Subkī (881)
916,Person,Muḥammad ibn Maḥmūd Āmulī (916)
920,Person, Abū ʿAbd Allāh nafazī al-Maghribī (920)
919,Person,al-Qāsim ibn Fīrruh Shāṭibī (919)
921,Person,Abū al-Ḥusayn ibn Hudhayl al-Andalusī (921)
144,Person,Shams al-Dīn Muḥammad al-Sakhawī (144)
936,Person,Muḥammad ibn Ḥamd Artāḥi (936)
935,Person,ʻAbd al-ʻAẓīm ibn ʻAbd al-Qawī Mundhirī (935)
941,Person,Muḥammad ibn Muḥammad Burhān al-Dīn Nasafī (941)
942,Person,Muḥammad ibn Ashraf Shams al-Dīn Samarqandī (942)
946,Person,Ismāʻīl ibn Aḥmad Samarqandī (946)
945,Person,ʻAlī ibn Aḥmad Ibn Habal (945)
947,Person,Muḥammad ibn Aḥmad ʻĀqūlī (947)
948,Person,ʿAbd Allāh ibn Aḥmad Ibn Khashshāb (948)
949,Person, Sharīf Shajarī (949)
953,Person,Aḥmad ibn ʻAlī Baghdādī (953)
954,Person,Kaykāwūs ibn Kaykhusraw Kaykāwūs II (954)
951,Person,Qāsim ibn Muḥammad Zakī al-Dīn Birzālī (951)
952,Person,Yūsuf ibn Khalīl Dimashqī (952)
957,Person,Muḥammad ibn Muḥammad Ibn Sayyid al-Nās (957)
958,Person,Muḥammad ibn Muḥammad Ibn Nubātah al-Miṣrī (958)
959,Person,Muḥammad ibn Yūsuf Abū Ḥayyān al-Gharnāṭī (959)
960,Person,ʿAlī ibn ʿAbd al-Kāfī Taqī al-Dīn Subkī (960)
924,Person,Muḥammad ibn Ḥusayn Quṭb al-Dīn al-Bayhaqi al-Kaydurī (924)
971,Person,ʿAbd Allāh ibn Ḥamzah Ibn Ḥamzah Ṭūsī (971)
972,Person,ʻAbd al-Raḥmān ibn ʻAbd Allāh al-Suhaylī (972)
865,Person,Majd al-Dīn Abū al-Khaṭṭāb ‘Umar ibn al-Ḥasan Ibn Diḥya al-Kalbī (865)
956,Person,Dāwūd ibn Muḥammad Banākatī (956)
987,Person, Abū ʿAbd Allāh Tilimsānī (987)
985,Person,Muḥammad ibn Ibrāhīm al-Nafazī al-Rundī (985)
988,Person, Abū ʿAbd Allāh al-Maqqarī (988)
989,Person, Abū ʿImrān Mūsā al-Andalusī (989)
990,Person,Aḥmad ibn ʿUmar Ibn ʻĀshir (990)
991,Person, Abū Marwān ʿAbd al-Malik Ṣūfī (991)
992,Person, Yaḥyā Sarrāj (992)
993,Person, Abū ʿAbd Allāh ibn Sakkāk (993)
994,Person,Aḥmad ibn Ḥasan Ibn Qunfudh al-Qusanṭīnī (994)
1003,Person, Amīn al-Dīn Naṣr (1003)
1004,Person, Fakhr al-Dīn Muḥammad (1004)
1005,Person,Muḥammad Zayn al-Dīn (1005)
1006,Person, Ḥājī Shams al-Dīn Zakarīyā (1006)
1007,Person, Qawām al-Dīn Sāwajī (1007)
1014,Person,Ḥāmid ibn Khiḍr Ibn Khujandī (1014)
272,Person,Abū Rayḥān Muḥammad al-Bīrūnī (272)
1035,Person, Fakhr al-Dawlah Daylamī (1035)
998,Person,Ḥusayn ibn Zaylah Ibn Zaylah (998)
1036,Person,ʻAlī ibn Ḥasan al-Tirmidhī (1036)
997,Person,Muḥammad ibn ʻAlī Ḥakīm al-Tirmidhī (997)
1037,Person, Aḥmad ibn Muḥammad ibn ʿIsā (1037)
1038,Person,Ḥasan ibn ʻAlī al-Jawzjānī (1038)
1039,Person,Abū Bakr al-Warrāq al-Tirmidhī (1039)
1040,Person,Asʿad ibn ʻAbd al-Qādir Abū Saʻādāt Iṣfahān (1040)
1029,Person,Maytham ibn ʻAlī Ibn Maytham al-Baḥrānī (1029)
1041,Person,ʻAlī ibn Sulaymān al-Baḥrānī (1041)
1042,Person,ʻAbd al-Karīm ibn Aḥmad al-Hillī (1042)
996,Person,Aḥmad ibn ʿUmar Najm al-Dīn al-Kubrā (996)
1071,Person,ʿUmar Khīvaqī (1071)
1072,Person,ʿAmmār Ibn Yāsir Bidlīsī (1072)
1073,Person,Ismāʻīl al-Qaṣrī (1073)
1074,Person,Muḥammad ibn Muʾaiyad Saʿd al-Dīn Ḥammūyah (1074)
1075,Person,ʻAlī ibn Saʻīd Raz̤ī al-Dīn Lālā (1075)
1076,Person,Saʻīd ibn Muṭahhar Sayf al-Dīn Bākharzī (1076)
1078,Person,ʻAbd Allāh ibn Muḥammad Najm al-Dīn Dāyeh Rāzī (1078)
1102,Person,ʿAlī ibn Aḥmad Ibn Ḥazm al-Andalusī (1102)
1052,Person,Muḥammad ibn al-Walīd al-Ṭurṭūshī (1052)
1103,Person,Sulaymān ibn Khalaf Abū al-Walīd al-Bājī (1103)
1105,Person,Aḥmad ibn Muḥammad Asʿad Mayhanī (1105)
1043,Person,ʻAbd al-Qāhir ibn ʿAbd Allāh al-Suhrawardī (1043)
1104,Person,Caliph Abū Bakr (1104)
1106,Person,Maḥmūd Nūr al-Dīn Zingī (1106)
17,Person,Jamāl al-Dīn ʿUthmān Ibn al-Ḥājib (17)
1112,Person,Aḥmad ibn Idrīs al-Ṣanhājī (1112)
1134,Person,Muḥammad ibn ʻAlī Rukn al-Dīn Jurjānī (1134)
1138,Person,ʻIbād ibn Aḥmad Gulistānah Iṣfahānī (1138)
1185,Person, Saʻīd ibn Hibat Allāh (1185)
1152,Person,Hibat Allāh ibn Ṣāʻid Ibn al-Tilmīdh (1152)
1186,Person,Sultan of the Seljuks Aḥmad Sanjar (1186)
1187,Person,Muḥammad ibn Aḥmad al-Muqtafī li Amrillāh (1187)
1188,Person,Hibat Allāh ibn ʻAlī ibn Malkā Abū al-Barakāt al-Baghdādī (1188)
1159,Person,Yūḥannā Ibn Māsawayh (1159)
1189,Person, Māsawayh (1189)
1176,Person,Ḥunayn ibn Isḥāq al-ʿIbādī (1176)
1190,Person, Hārūn al-Rashīd (1190)
1161,Person,ʿĪsā Ibn-Yaḥyā Abū-Sahl al-Masīḥī (1161)
1191,Person,Rustam ibn Shirvīn Bāvandī (1191)
1192,Person,Maʼmūn ibn Muḥammad Khwārazm Shāh (1192)
1193,Person, Isḥāq ibn ʿImrān (1193)
1166,Person,Isḥāq ibn Sulaymān Isrāʾīlī (1166)
1171,Person,Muḥammad ibn Manṣūr Jurjānī Yamānī (1171)
1194,Person,Sultan of the Seljuks Malik-Shāh ibn Alp Arslan (1194)
1174,Person,Muḥammad ibn Muḥammad Aqsarāyī (1174)
1212,Person,Dāwūd ibn Yūsuf al-Malik al-Muʾaiyad (1212)
1244,Person, Abū al-ʿAlāʾ ibn al-Tilmīdh (1244)
1245,Person,ʿAbd Allāh ibn Muḥammad al-Muqtadī li Amrillāh (1245)
1246,Person,Aḥmad ibn ʿAbd Allāh al-Mustaẓhir bi-Allāh (1246)
1204,Person,Zuhr ibn ʻAbd al-Malik Abū al-ʿAlāʾ (1204)
1248,Person, Muʻtamad ibn ʿAbbād (1248)
1249,Person, Yūsuf ibn Tāshfīn (1249)
1517,Person, Ibn Sayyār (1517)
1196,Person,Aḥmad ibn Muḥammad Ṭabarī (1196)
